NAICS Code,Kind of business,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
4461,   Health and personal care stores ,"299,891","282,176","274,000","271,333","260,201","252,643","246,501","237,164","223,336","210,085","199,290","192,426","179,983","166,533","155,234","142,699","129,583","118,672","109,557","101,635","96,363","92,594","89,705"
44611,   Pharmacies and drug stores ,"251,728","235,677","229,951","230,970","221,996","217,109","210,785","202,284","191,018","179,170","169,231","165,524","153,936","141,772","130,857","121,282","108,415","98,823","91,810","85,840","81,994","79,707","77,791"
44613,   Optical goods stores ,"10,736","10,316","9,957","10,033","9,346","8,757","8,353","8,231","7,581","7,499","7,156","6,912","6,818","6,487","7,228","6,973","6,943","6,563","5,859","5,262","5,286","4,906","4,907"
447,   Gasoline stations ,"534,670","547,489","555,419","532,372","448,809","391,538","503,767","451,822","421,976","378,923","324,006","275,187","250,619","251,383","249,816","212,524","191,727","199,700","194,425","181,113","171,222","162,376","156,324"
448,   Clothing and clothing access stores ,"250,775","246,313","239,493","228,438","213,178","204,402","215,543","221,205","213,189","200,969","190,253","178,694","172,304","167,287","167,674","159,751","149,151","140,293","136,581","131,333","129,083","124,749","120,103"
4481,   Clothing stores ,"183,007","179,485","176,131","168,029","158,227","151,338","157,685","161,622","154,546","145,575","137,289","128,361","122,834","119,208","118,097","111,681","104,128","97,722","93,712","90,708","90,161","88,127","85,370"
44811,   Men's clothing stores ,"8,901","8,683","8,272","7,862","7,287","7,354","8,351","8,772","8,844","8,737","8,566","8,249","8,112","8,625","9,507","9,667","10,196","10,069","9,546","9,315","10,032","9,962","10,179"
44812,   Women's clothing stores ,"41,678","41,785","41,794","40,048","37,690","36,055","38,402","40,294","38,809","37,075","34,954","32,565","31,246","31,453","31,447","29,549","28,332","27,822","28,238","28,696","30,585","32,350","31,815"
44814,   Family clothing stores ,"98,214","95,805","92,631","88,271","84,508","80,924","82,799","84,592","81,712","77,292","72,444","67,494","64,289","60,150","58,913","55,318","50,154","45,243","42,259","39,999","38,103","35,297","33,146"
44819,   Other clothing stores ,"15,128","14,568","13,941","12,604","11,653","11,323","11,747","12,003","11,042","10,144","9,983","9,223","8,766","8,888","8,815","8,247","7,470","7,321","7,110","6,610","5,992","5,521","5,295"
4482,   Shoe stores ,"33,531","32,694","31,039","29,241","27,234","25,647","26,975","26,811","26,682","25,263","23,685","23,167","23,201","22,884","22,875","22,690","22,238","21,450","21,235","20,341","19,907","19,028","18,616"
4483,"   Jewelry, luggage, and leather goods stores ","34,237","34,134","32,323","31,168","27,717","27,417","30,883","32,772","31,961","30,131","29,279","27,166","26,269","25,195","26,702","25,380","22,785","21,121","21,634","20,284","19,015","17,594","16,117"
44831,   Jewelry stores ,"31,625","31,372","29,862","28,967","25,849","25,656","28,970","30,820","30,103","28,421","27,623","25,493","24,638","23,561","24,821","23,691","21,271","19,629","20,169","19,007","17,852","16,429","15,045"
451,"   Sporting goods, hobby, book, and music stores ","85,375","84,550","82,981","80,689","80,319","80,146","83,595","84,651","83,148","80,889","79,284","76,767","76,680","76,836","75,808","72,458","68,645","65,288","63,768","60,642","57,249","52,091","49,026"
4511,"   Sporting  goods, hobby, and musical instrument stores ","71,234","70,216","67,743","63,824","61,806","60,768","62,432","62,457","60,229","56,965","55,000","53,012","52,652","52,278","51,444","48,613","45,810","43,682","42,913","40,631","38,932","35,453","33,663"
45111,   Sporting goods stores ,"44,631","44,374","42,142","38,996","37,324","36,519","36,750","35,804","33,869","30,713","28,640","27,000","26,219","26,158","25,308","23,699","22,284","21,167","20,810","19,869","18,825","16,791","15,583"
45112,"   Hobby, toy, and game stores ","17,355","16,861","16,620","16,124","15,796","15,524","16,104","16,344","16,020","16,255","16,314","16,582","16,909","16,820","16,947","16,651","15,833","15,021","14,502","13,714","12,850","11,651","11,251"
4512,"   Book, periodical, and music stores ","14,141","14,334","15,238","16,865","18,513","19,378","21,163","22,194","22,919","23,924","24,284","23,755","24,028","24,558","24,364","23,845","22,835","21,606","20,855","20,011","18,317","16,638","15,363"
45121,   Book stores and news dealers ,"12,426","12,633","13,416","14,815","16,320","16,843","18,096","18,452","18,305","18,263","18,167","17,347","16,560","16,305","16,148","15,459","14,631","14,010","13,158","12,402","11,213","10,120","9,303"
451211,      Book stores ,"11,320","11,501","12,269","13,716","15,238","15,802","16,801","17,171","16,978","16,992","16,881","16,219","15,437","15,098","14,879","14,172","13,282","12,742","11,905","11,196","10,107","9,108","8,327"
452,   General merchandise stores ,"666,873","651,868","642,313","624,779","603,776","588,930","595,047","578,582","554,256","528,385","497,382","468,771","446,520","427,468","404,228","380,179","351,081","331,363","315,305","300,498","285,190","265,996","247,876"
4521,   Department stores (excl LD) ,"168,068","170,194","177,313","183,361","184,755","186,583","198,236","209,392","213,155","215,266","215,691","214,470","220,743","228,377","232,475","230,304","223,290","220,108","212,203","205,920","198,945","187,685","177,089"
45211,   Department stores ,"168,068","170,194","177,313","183,361","184,755","186,583","198,236","209,392","213,155","215,266","215,691","214,470","220,743","228,377","232,475","230,304","223,290","220,108","212,203","205,920","198,945","187,685","177,089"
452111,      Department stores (except discount dept stores) ,"60,543","60,616","62,961","65,738","64,901","63,340","71,149","76,887","80,297","84,751","84,466","85,146","86,857","90,782","96,282","96,652","94,308","93,985","92,172","89,300","89,402","86,325","85,153"
452112,      Discount dept stores ,"107,525","109,578","114,352","117,623","119,854","123,243","127,087","132,505","132,858","130,515","131,225","129,324","133,886","137,595","136,193","133,652","128,982","126,123","120,031","116,620","109,543","101,360","91,936"
